
"Kommune","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Gribskov",6,5,8,6,4,2,0,5,5,13,2,2,4,3,3,3,3,6
"Halsnæs",1,0,2,1,1,2,1,2,0,1,3,0,2,0,1,2,2,0
"Helsingør",19,11,11,39,41,45,53,47,50,17,9,14,26,11,10,10,23,19
"Hillerød",44,42,39,49,51,40,43,23,42,48,44,41,29,21,8,17,10,9
"Hørsholm",7,13,15,16,18,18,16,27,23,29,19,18,7,8,2,12,6,7
"Rudersdal",34,43,34,39,39,38,39,57,43,43,34,49,54,38,23,19,36,26
"Bornholm",5,4,6,3,1,6,5,7,7,2,8,3,5,0,4,3,3,4
"Christiansø",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greve",8,12,14,14,14,18,34,18,30,39,40,35,40,13,11,27,21,18
"Køge",4,8,18,13,19,22,21,20,22,15,11,13,7,11,4,3,10,6
"Lejre",4,9,12,12,13,14,12,8,7,11,13,10,5,4,2,3,1,1
"Roskilde",16,43,25,73,127,80,50,39,45,38,29,47,46,31,15,35,38,41
"Solrød",3,4,8,12,14,9,16,15,19,22,19,22,15,6,2,11,7,4
"Faxe",0,1,4,0,4,1,2,4,0,1,1,5,3,1,1,1,0,1
"Guldborgsund",2,3,3,3,1,1,4,1,6,4,9,4,2,0,3,3,2,2
"Holbæk",7,3,6,3,1,5,4,2,4,8,5,8,3,7,5,5,5,5
"Kalundborg",3,2,4,3,2,1,1,9,5,6,1,2,5,0,6,2,8,6
"Lolland",2,1,2,0,1,1,3,2,1,1,0,2,1,2,2,1,0,2
"Næstved",7,4,3,3,2,10,8,5,6,12,6,7,9,8,9,9,14,14
"Odsherred",3,0,1,0,1,2,0,1,3,0,1,1,1,3,0,4,1,2
"Ringsted",2,3,2,4,2,2,3,0,0,1,2,1,0,1,6,1,2,1
"Slagelse",9,7,5,8,8,7,11,7,3,10,9,7,10,7,10,6,11,9
"Sorø",0,1,2,1,2,1,1,3,0,0,1,0,0,3,0,0,1,5
"Stevns",1,3,0,2,2,0,2,2,5,1,3,0,2,2,1,2,0,3
"Vordingborg",5,1,6,6,10,1,0,2,5,6,3,2,4,2,5,3,1,3
"Assens",1,2,3,1,2,2,0,2,2,1,3,1,1,0,0,0,4,1
"Faaborg-Midtfyn",1,2,5,2,0,1,3,1,4,1,5,0,1,0,2,1,4,1
"Kerteminde",0,2,1,2,0,0,0,1,8,3,0,2,1,4,1,0,2,0
"Langeland",3,1,2,0,1,0,3,0,0,3,0,0,0,0,2,1,0,2
"Middelfart",1,3,1,2,1,2,3,2,1,7,2,3,4,4,3,5,2,5
"Nordfyns",0,1,2,1,2,0,0,1,2,2,3,3,0,0,2,5,1,3
"Nyborg",1,1,5,0,0,0,1,5,0,0,0,2,3,2,2,0,5,0
"Odense",31,56,36,40,31,44,41,42,33,39,46,53,38,26,34,54,50,53
"Svendborg",6,3,7,8,4,3,6,4,11,5,5,9,8,5,3,8,7,8
"Ærø",0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,3,3
"Billund",3,2,2,2,5,9,7,11,24,28,18,13,27,13,19,32,23,35
"Esbjerg",8,16,14,23,18,15,24,19,29,17,19,16,10,15,9,15,12,23
"Fanø",0,0,1,2,0,0,1,0,2,1,0,0,0,0,0,0,0,0
"Fredericia",2,1,3,0,1,5,2,1,1,4,1,6,6,10,4,4,3,2
"Haderslev",4,7,5,7,12,8,13,7,7,6,13,12,5,3,16,11,4,1
"Kolding",12,14,7,12,7,8,9,7,10,6,9,7,16,6,3,8,26,37
"Sønderborg",14,23,9,10,11,11,13,22,10,9,10,15,11,12,8,15,21,11
"Tønder",1,5,2,0,2,1,0,2,2,4,7,5,2,5,6,2,1,0
"Varde",2,1,3,3,4,0,2,1,3,2,2,2,1,3,5,3,6,3
"Vejen",4,2,0,2,0,1,1,1,5,0,3,1,7,2,2,3,4,4
"Vejle",6,7,8,13,7,8,21,27,27,22,9,15,13,10,25,25,50,31
"Aabenraa",2,0,1,3,3,0,5,0,3,2,1,6,1,0,2,6,10,1
"Favrskov",0,4,3,3,3,2,7,2,0,3,4,1,2,2,1,1,0,1
"Hedensted",4,4,4,2,6,5,8,5,10,5,6,4,1,2,3,4,4,2
"Horsens",11,4,12,7,7,8,8,7,9,10,10,10,7,10,8,7,11,14
