"Kommune","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Odsherred",0,1,4,0,4,0,1,1,1,2,1,0,3,0,0,0,1,0
"Ringsted",1,1,1,3,2,3,1,5,0,0,1,0,0,0,0,2,1,1
"Slagelse",1,5,5,3,8,7,4,10,10,5,8,4,3,10,8,5,5,7
"Sorø",2,0,1,0,3,3,2,2,1,0,0,0,1,0,0,0,1,1
"Stevns",0,0,0,1,1,1,4,1,0,1,0,1,3,1,0,1,1,1
"Vordingborg",0,4,1,6,8,6,1,0,2,1,2,5,1,2,1,1,2,0
"Assens",0,1,1,0,3,2,2,0,1,1,1,1,4,0,1,0,0,1
"Faaborg-Midtfyn",3,2,0,1,3,0,2,2,0,0,1,3,6,1,0,0,5,0
"Kerteminde",1,2,0,1,3,1,0,0,0,9,4,0,2,0,3,1,1,3
"Langeland",1,1,1,0,0,0,1,3,0,2,1,0,0,0,0,1,1,0
"Middelfart",5,2,0,3,1,3,1,5,0,0,4,2,3,4,2,6,5,1
"Nordfyns",0,0,1,1,0,1,0,0,0,1,2,1,0,0,1,3,0,3
"Nyborg",1,2,7,0,1,1,1,0,1,1,3,0,1,0,0,1,2,1
"Odense",26,28,34,39,41,32,33,27,37,29,26,18,36,66,7,22,31,47
"Svendborg",5,4,7,12,7,3,2,3,10,3,6,3,8,3,2,2,7,8
"Ærø",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Billund",0,2,2,1,2,4,0,4,2,2,12,9,6,6,8,5,16,9
"Esbjerg",5,6,8,8,8,9,25,26,22,19,22,23,17,13,10,9,9,4
"Fanø",0,0,0,0,0,0,3,0,0,0,1,2,1,0,0,0,0,4
"Fredericia",2,3,3,2,2,2,3,2,6,0,8,1,7,11,4,2,7,5
"Haderslev",6,5,4,5,6,11,6,17,6,6,8,11,10,5,8,7,6,1
"Kolding",7,6,6,12,6,17,8,3,11,8,3,9,9,9,4,7,3,9
"Sønderborg",10,9,20,22,11,16,4,7,10,11,24,5,6,15,8,5,7,4
"Tønder",0,1,4,0,2,2,0,2,0,3,1,2,4,2,5,1,1,0
"Varde",0,2,3,1,0,1,2,0,2,2,2,5,0,2,1,2,3,5
"Vejen",0,1,0,2,1,2,2,0,3,7,0,1,0,3,2,7,2,2
"Vejle",1,5,3,9,3,2,12,15,18,18,21,11,12,19,12,6,16,13
"Aabenraa",2,0,2,1,1,3,1,4,1,2,2,3,1,1,2,0,2,2
"Favrskov",0,3,2,3,2,4,5,4,1,1,1,0,1,3,1,3,1,1
"Hedensted",2,5,5,2,3,8,4,6,8,2,5,3,9,1,2,3,3,2
"Horsens",7,11,11,8,8,1,6,6,8,6,10,3,15,7,8,8,7,4
"Norddjurs",0,1,0,0,2,1,7,6,2,1,2,1,7,0,0,2,1,1
"Odder",0,0,0,0,1,0,1,1,3,0,1,4,1,0,1,0,3,1
"Randers",1,2,9,8,4,6,8,9,3,4,4,7,21,8,3,5,12,4
"Samsø",0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0
"Silkeborg",1,4,1,5,5,11,2,8,1,5,5,6,3,3,5,5,3,1
"Skanderborg",1,2,2,0,3,3,0,4,4,2,1,5,3,0,2,2,0,3
"Syddjurs",3,3,2,6,4,4,1,2,4,4,2,3,6,8,3,5,9,2
"Aarhus",43,81,139,122,124,110,127,174,133,134,114,153,139,223,56,103,137,144
"Herning",1,5,5,3,6,4,6,6,6,10,14,11,6,7,4,6,6,3
"Holstebro",0,1,3,1,1,1,2,3,1,5,4,2,6,3,1,0,1,1
"Ikast-Brande",2,0,0,1,4,8,11,2,0,1,3,3,10,1,4,0,2,3
"Lemvig",4,1,2,4,2,3,1,5,5,4,4,4,4,3,1,0,1,1
"Ringkøbing-Skjern",1,1,3,7,1,3,2,2,0,2,1,5,17,0,2,4,2,1
"Skive",0,1,1,1,1,3,3,1,3,4,1,2,7,1,0,2,0,1
"Struer",2,1,4,0,0,0,1,3,1,1,1,1,0,0,0,0,0,1
"Viborg",5,2,1,3,8,1,3,8,9,6,5,9,8,4,4,4,5,3
"Brønderslev",0,0,0,4,2,2,5,4,1,1,0,1,0,0,3,1,2,1
"Frederikshavn",7,6,13,6,2,2,3,9,9,9,3,6,4,3,3,1,2,2
"Hjørring",1,2,1,0,2,5,2,2,8,1,1,15,8,3,4,3,8,4
"Jammerbugt",1,3,0,0,0,0,1,2,0,0,0,0,1,0,2,0,1,1
"Læsø",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Mariagerfjord",1,0,2,1,1,4,0,2,3,0,1,4,3,3,2,1,2,0
"Morsø",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Rebild",3,0,2,0,0,1,7,3,1,0,0,0,1,0,0,1,1,0
"Thisted",3,1,2,2,0,1,0,0,2,0,0,1,0,1,0,1,1,1
"Vesthimmerlands",0,0,0,0,1,0,1,0,0,1,2,1,1,1,0,3,1,1
"Aalborg",17,36,49,46,40,49,48,44,28,35,31,28,36,29,30,37,32,38
